  9809     SPring-8 14b2 
 Ir-L3_IrCl4_Si  20.07.15 13:07 - 20.07.15 13:11
 IrCl4                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 10.59089 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4645
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       10.47000   8.93000    -0.000340       0.05      4645
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    37.100    81.600
  10.42308  10.42688     0.050     27221      9648
  10.42274  10.42661     0.050     27216      9646
  10.42240  10.42633     0.050     27212      9647
  10.42206  10.42606     0.050     27196      9647
  10.42172  10.42577     0.050     27210      9652
  10.42138  10.42547     0.050     27211      9652
  10.42104  10.42518     0.050     27192      9651
  10.42070  10.42488     0.050     27201      9656
  10.42036  10.42458     0.050     27198      9655
  10.42002  10.42428     0.050     27186      9656
  10.41968  10.42394     0.050     27203      9659
  10.41934  10.42359     0.050     27181      9657
  10.41900  10.42321     0.050     27198      9661
  10.41866  10.42283     0.050     27195      9665
  10.41832  10.42246     0.050     27186      9663
  10.41798  10.42211     0.050     27196      9666
  10.41764  10.42176     0.050     27179      9666
  10.41730  10.42140     0.050     27187      9668
  10.41696  10.42103     0.050     27186      9670
  10.41662  10.42065     0.050     27175      9667
  10.41628  10.42028     0.050     27174      9669
  10.41594  10.41992     0.050     27187      9674
  10.41560  10.41957     0.050     27159      9667
  10.41526  10.41923     0.050     27164      9675
  10.41492  10.41891     0.050     27169      9676
  10.41458  10.41858     0.050     27171      9677
  10.41424  10.41825     0.050     27160      9675
  10.41390  10.41792     0.050     27160      9679
  10.41356  10.41761     0.050     27159      9681
  10.41322  10.41731     0.050     27157      9682
  10.41288  10.41702     0.050     27138      9678
  10.41254  10.41675     0.050     27166      9687
  10.41220  10.41648     0.050     27164      9686
  10.41186  10.41621     0.050     27141      9682
  10.41152  10.41592     0.050     27147      9688
  10.41118  10.41563     0.050     27149      9692
  10.41084  10.41533     0.050     27146      9690
  10.41050  10.41503     0.050     27142      9690
  10.41016  10.41474     0.050     27148      9694
  10.40982  10.41444     0.050     27144      9696
  10.40948  10.41411     0.050     27123      9692
  10.40914  10.41377     0.050     27144      9697
  10.40880  10.41340     0.050     27135      9695
  10.40846  10.41302     0.050     27132      9695
  10.40812  10.41264     0.050     27141      9702
  10.40778  10.41228     0.050     27129      9702
  10.40744  10.41193     0.050     27125      9702
  10.40710  10.41157     0.050     27133      9706
  10.40676  10.41121     0.050     27139      9709
  10.40642  10.41083     0.050     27124      9708
  10.40608  10.41045     0.050     27104      9703
  10.40574  10.41008     0.050     27121      9710
  10.40540  10.40972     0.050     27124      9714
  10.40506  10.40938     0.050     27109      9710
  10.40472  10.40905     0.050     27116      9711
  10.40438  10.40872     0.050     27121      9717
  10.40404  10.40839     0.050     27102      9711
  10.40370  10.40806     0.050     27113      9718
  10.40336  10.40774     0.050     27121      9720
  10.40302  10.40743     0.050     27113      9724
  10.40268  10.40714     0.050     27094      9718
  10.40234  10.40686     0.050     27098      9723
  10.40200  10.40659     0.050     27108      9727
  10.40166  10.40631     0.050     27083      9721
  10.40132  10.40603     0.050     27083      9721
  10.40098  10.40574     0.050     27111      9731
  10.40064  10.40544     0.050     27093      9730
  10.40030  10.40514     0.050     27066      9724
  10.39996  10.40484     0.050     27095      9734
  10.39962  10.40454     0.050     27110      9739
  10.39928  10.40423     0.050     27074      9730
  10.39894  10.40389     0.050     27083      9735
  10.39860  10.40353     0.050     27104      9743
  10.39826  10.40315     0.050     27082      9738
  10.39792  10.40277     0.050     27069      9737
  10.39758  10.40240     0.050     27101      9745
  10.39724  10.40204     0.050     27087      9745
  10.39690  10.40168     0.050     27069      9742
  10.39656  10.40133     0.050     27077      9745
  10.39622  10.40096     0.050     27082      9750
  10.39588  10.40058     0.050     27065      9744
  10.39554  10.40021     0.050     27063      9749
  10.39520  10.39984     0.050     27086      9755
  10.39486  10.39949     0.050     27087      9757
  10.39452  10.39916     0.050     27055      9749
  10.39418  10.39883     0.050     27071      9757
  10.39384  10.39850     0.050     27086      9762
  10.39350  10.39817     0.050     27054      9753
  10.39316  10.39784     0.050     27055      9760
  10.39282  10.39753     0.050     27079      9765
  10.39248  10.39724     0.050     27073      9764
  10.39214  10.39696     0.050     27055      9762
  10.39180  10.39669     0.050     27072      9768
  10.39146  10.39642     0.050     27081      9768
  10.39112  10.39614     0.050     27048      9765
  10.39078  10.39585     0.050     27053      9769
  10.39044  10.39556     0.050     27067      9776
  10.39010  10.39526     0.050     27041      9770
  10.38976  10.39496     0.050     27033      9770
  10.38942  10.39466     0.050     27071      9780
  10.38908  10.39436     0.050     27050      9774
  10.38874  10.39403     0.050     27022      9773
  10.38840  10.39368     0.050     27044      9777
  10.38806  10.39330     0.050     27047      9781
  10.38772  10.39292     0.050     27032      9779
  10.38738  10.39255     0.050     27038      9782
  10.38704  10.39219     0.050     27036      9782
  10.38670  10.39183     0.050     27034      9785
  10.38636  10.39147     0.050     27034      9786
  10.38602  10.39110     0.050     27040      9791
  10.38568  10.39073     0.050     27035      9791
  10.38534  10.39035     0.050     27027      9789
  10.38500  10.38998     0.050     27025      9792
  10.38466  10.38963     0.050     27039      9799
  10.38432  10.38929     0.050     27005      9790
  10.38398  10.38896     0.050     27021      9797
  10.38364  10.38863     0.050     27012      9794
  10.38330  10.38830     0.050     27013      9797
  10.38296  10.38797     0.050     27013      9799
  10.38262  10.38765     0.050     27039      9809
  10.38228  10.38735     0.050     27020      9804
  10.38194  10.38706     0.050     27003      9802
  10.38160  10.38679     0.050     27028      9811
  10.38126  10.38652     0.050     27007      9808
  10.38092  10.38624     0.050     27007      9808
  10.38058  10.38596     0.050     27003      9807
  10.38024  10.38566     0.050     27010      9814
  10.37990  10.38536     0.050     26992      9808
  10.37956  10.38507     0.050     26996      9811
  10.37922  10.38477     0.050     27026      9822
  10.37888  10.38447     0.050     27004      9818
  10.37854  10.38415     0.050     27002      9820
  10.37820  10.38381     0.050     27014      9823
  10.37786  10.38344     0.050     27010      9828
  10.37752  10.38306     0.050     26979      9817
  10.37718  10.38267     0.050     26992      9825
  10.37684  10.38231     0.050     27002      9829
  10.37650  10.38196     0.050     26984      9826
  10.37616  10.38160     0.050     26983      9825
  10.37582  10.38123     0.050     27008      9834
  10.37548  10.38085     0.050     26986      9832
  10.37514  10.38047     0.050     26974      9830
  10.37480  10.38010     0.050     26994      9837
  10.37446  10.37974     0.050     26995      9840
  10.37412  10.37940     0.050     26979      9837
  10.37378  10.37906     0.050     26972      9835
  10.37344  10.37873     0.050     26997      9845
  10.37310  10.37840     0.050     26981      9842
  10.37276  10.37806     0.050     26969      9842
  10.37242  10.37774     0.050     26977      9844
  10.37208  10.37743     0.050     26997      9852
  10.37174  10.37714     0.050     26956      9844
  10.37140  10.37686     0.050     26960      9847
  10.37106  10.37659     0.050     26974      9852
  10.37072  10.37632     0.050     26967      9850
  10.37038  10.37603     0.050     26979      9857
  10.37004  10.37574     0.050     26969      9856
  10.36970  10.37545     0.050     26959      9856
  10.36936  10.37514     0.050     26957      9856
  10.36902  10.37485     0.050     26965      9861
  10.36868  10.37455     0.050     26973      9865
  10.36834  10.37424     0.050     26953      9859
  10.36800  10.37390     0.050     26959      9863
  10.36766  10.37354     0.050     26958      9865
  10.36732  10.37316     0.050     26943      9866
  10.36698  10.37278     0.050     26951      9867
  10.36664  10.37241     0.050     26963      9872
  10.36630  10.37205     0.050     26953      9870
  10.36596  10.37170     0.050     26938      9869
  10.36562  10.37133     0.050     26961      9875
  10.36528  10.37096     0.050     26946      9875
  10.36494  10.37058     0.050     26937      9875
  10.36460  10.37021     0.050     26952      9878
  10.36426  10.36985     0.050     26953      9880
  10.36392  10.36950     0.050     26930      9874
  10.36358  10.36917     0.050     26943      9884
  10.36324  10.36883     0.050     26946      9886
  10.36290  10.36850     0.050     26953      9889
  10.36256  10.36817     0.050     26920      9881
  10.36222  10.36785     0.050     26952      9892
  10.36188  10.36753     0.050     26939      9892
  10.36154  10.36724     0.050     26925      9888
  10.36120  10.36695     0.050     26933      9893
  10.36086  10.36668     0.050     26937      9896
  10.36052  10.36641     0.050     26923      9892
  10.36018  10.36613     0.050     26918      9893
  10.35984  10.36585     0.050     26934      9903
  10.35950  10.36555     0.050     26921      9900
  10.35916  10.36525     0.050     26899      9894
  10.35882  10.36495     0.050     26920      9901
  10.35848  10.36465     0.050     26930      9908
  10.35814  10.36435     0.050     26908      9902
  10.35780  10.36402     0.050     26897      9900
  10.35746  10.36366     0.050     26934      9915
  10.35712  10.36329     0.050     26918      9910
  10.35678  10.36290     0.050     26891      9905
  10.35644  10.36253     0.050     26906      9914
  10.35610  10.36216     0.050     26912      9916
  10.35576  10.36181     0.050     26895      9913
  10.35542  10.36146     0.050     26883      9909
  10.35508  10.36109     0.050     26914      9921
  10.35474  10.36071     0.050     26904      9920
  10.35440  10.36033     0.050     26891      9917
  10.35406  10.35996     0.050     26896      9923
  10.35372  10.35961     0.050     26904      9927
  10.35338  10.35927     0.050     26877      9919
  10.35304  10.35893     0.050     26893      9924
  10.35270  10.35860     0.050     26908      9933
  10.35236  10.35827     0.050     26882      9925
  10.35202  10.35795     0.050     26884      9927
  10.35168  10.35763     0.050     26906      9938
  10.35134  10.35733     0.050     26904      9939
  10.35100  10.35704     0.050     26870      9931
  10.35066  10.35676     0.050     26882      9936
  10.35032  10.35649     0.050     26915      9947
  10.34998  10.35622     0.050     26881      9939
  10.34964  10.35593     0.050     26866      9936
  10.34930  10.35564     0.050     26898      9948
  10.34896  10.35534     0.050     26888      9947
  10.34862  10.35504     0.050     26864      9939
  10.34828  10.35474     0.050     26883      9950
  10.34794  10.35444     0.050     26885      9951
  10.34760  10.35411     0.050     26867      9946
  10.34726  10.35377     0.050     26869      9948
  10.34692  10.35340     0.050     26876      9955
  10.34658  10.35301     0.050     26880      9956
  10.34624  10.35263     0.050     26860      9950
  10.34590  10.35226     0.050     26873      9957
  10.34556  10.35190     0.050     26881      9960
  10.34522  10.35154     0.050     26862      9957
  10.34488  10.35117     0.050     26856      9960
  10.34454  10.35080     0.050     26881      9965
  10.34420  10.35041     0.050     26866      9964
  10.34386  10.35004     0.050     26850      9962
  10.34352  10.34969     0.050     26866      9970
  10.34318  10.34935     0.050     26862      9965
  10.34284  10.34901     0.050     26845      9965
  10.34250  10.34868     0.050     26858      9972
  10.34216  10.34835     0.050     26856      9972
  10.34182  10.34802     0.050     26842      9971
  10.34148  10.34769     0.050     26843      9971
  10.34114  10.34739     0.050     26850      9977
  10.34080  10.34710     0.050     26852      9978
  10.34046  10.34683     0.050     26836      9977
  10.34012  10.34656     0.050     26848      9981
  10.33978  10.34628     0.050     26832      9979
  10.33944  10.34600     0.050     26832      9980
  10.33910  10.34570     0.050     26837      9982
  10.33876  10.34540     0.050     26827      9983
  10.33842  10.34511     0.050     26831      9986
  10.33808  10.34481     0.050     26832      9987
  10.33774  10.34451     0.050     26851      9994
  10.33740  10.34419     0.050     26835      9990
  10.33706  10.34385     0.050     26824      9990
  10.33672  10.34348     0.050     26832      9994
  10.33638  10.34310     0.050     26822      9992
  10.33604  10.34273     0.050     26822      9992
  10.33570  10.34236     0.050     26832      9998
  10.33536  10.34200     0.050     26827     10003
  10.33502  10.34164     0.050     26832     10000
  10.33468  10.34128     0.050     26813      9999
  10.33434  10.34091     0.050     26840     10008
  10.33400  10.34052     0.050     26828     10004
  10.33366  10.34015     0.050     26805     10001
  10.33332  10.33979     0.050     26828     10007
  10.33298  10.33944     0.050     26815     10009
  10.33264  10.33911     0.050     26815     10010
  10.33230  10.33878     0.050     26797     10007
  10.33196  10.33845     0.050     26827     10015
  10.33162  10.33812     0.050     26823     10017
  10.33128  10.33780     0.050     26801     10015
  10.33094  10.33748     0.050     26808     10019
  10.33060  10.33718     0.050     26808     10017
  10.33026  10.33691     0.050     26810     10020
  10.32992  10.33664     0.050     26783     10016
  10.32958  10.33636     0.050     26808     10024
  10.32924  10.33608     0.050     26797     10022
  10.32890  10.33579     0.050     26792     10023
  10.32856  10.33550     0.050     26808     10029
  10.32822  10.33520     0.050     26804     10029
  10.32788  10.33490     0.050     26779     10024
  10.32754  10.33460     0.050     26791     10029
  10.32720  10.33429     0.050     26803     10036
  10.32686  10.33396     0.050     26778     10031
  10.32652  10.33360     0.050     26778     10029
  10.32618  10.33322     0.050     26800     10039
  10.32584  10.33283     0.050     26791     10037
  10.32550  10.33246     0.050     26773     10035
  10.32516  10.33211     0.050     26775     10037
  10.32482  10.33175     0.050     26806     10049
  10.32448  10.33139     0.050     26792     10043
  10.32414  10.33102     0.050     26765     10039
  10.32380  10.33064     0.050     26804     10052
  10.32346  10.33026     0.050     26790     10051
  10.32312  10.32990     0.050     26764     10047
  10.32278  10.32955     0.050     26772     10054
  10.32244  10.32921     0.050     26781     10055
  10.32210  10.32888     0.050     26760     10052
  10.32176  10.32855     0.050     26759     10051
  10.32142  10.32821     0.050     26793     10066
  10.32108  10.32789     0.050     26784     10061
  10.32074  10.32758     0.050     26764     10058
  10.32040  10.32727     0.050     26781     10064
  10.32006  10.32699     0.050     26776     10067
  10.31972  10.32672     0.050     26756     10061
  10.31938  10.32644     0.050     26764     10064
  10.31904  10.32616     0.050     26773     10073
  10.31870  10.32587     0.050     26756     10068
  10.31836  10.32558     0.050     26753     10069
  10.31802  10.32528     0.050     26759     10074
  10.31768  10.32498     0.050     26778     10080
  10.31734  10.32468     0.050     26752     10071
  10.31700  10.32437     0.050     26763     10079
  10.31666  10.32404     0.050     26750     10080
  10.31632  10.32369     0.050     26745     10077
  10.31598  10.32332     0.050     26748     10081
  10.31564  10.32293     0.050     26756     10082
