   9809     AichiSR  BL5S1
 200911-Y2O3-1   20.09.11 09:12 - 20.09.11 09:13
                                                                                 
 Ring :   1.2 GeV   301.8 mA -  301.4 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle=  6.67855 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 3783
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1       16740.16  18140.16        0.37       0.01      3785
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  5552.300  9521.500  8214.200
   6.64742   6.64754    0.0143  20068648   4948959  23896886
   6.64728   6.64740    0.0143  20069348   4936739  23840286
   6.64714   6.64727    0.0143  20106748   4935229  23828786
   6.64700   6.64713    0.0143  20080848   4919729  23752186
   6.64686   6.64699    0.0143  20134848   4921999  23773086
   6.64672   6.64685    0.0143  20154748   4916009  23749986
   6.64658   6.64671    0.0143  20176748   4915069  23743486
   6.64644   6.64657    0.0143  20193048   4911859  23724586
   6.64631   6.64643    0.0143  20200248   4905489  23691886
   6.64617   6.64629    0.0143  20226748   4907449  23695986
   6.64603   6.64615    0.0143  20223348   4898949  23671986
   6.64589   6.64601    0.0143  20258848   4902469  23674786
   6.64575   6.64586    0.0143  20261748   4899319  23663486
   6.64561   6.64572    0.0143  20264948   4895479  23643686
   6.64547   6.64557    0.0143  20283348   4893709  23639186
   6.64533   6.64543    0.0143  20284548   4888679  23617886
   6.64519   6.64528    0.0143  20333648   4894529  23648586
   6.64506   6.64513    0.0143  20301048   4881989  23589786
   6.64492   6.64498    0.0143  20340848   4885709  23608586
   6.64478   6.64484    0.0143  20317548   4874059  23555086
   6.64464   6.64469    0.0143  20346948   4873059  23545286
   6.64450   6.64454    0.0143  20341848   4864229  23503686
   6.64436   6.64439    0.0143  20364348   4861139  23502586
   6.64422   6.64424    0.0143  20365748   4853829  23458886
   6.64408   6.64410    0.0143  20358448   4841799  23399986
   6.64394   6.64395    0.0143  20389648   4837149  23382586
   6.64381   6.64381    0.0143  20362348   4822269  23311786
   6.64367   6.64367    0.0143  20398848   4819119  23291486
   6.64353   6.64353    0.0143  20393348   4808279  23242386
   6.64339   6.64339    0.0143  20402548   4797639  23185386
   6.64325   6.64325    0.0143  20401048   4784099  23131086
   6.64311   6.64311    0.0143  20382348   4768029  23052786
   6.64297   6.64297    0.0143  20411048   4762099  23026286
   6.64283   6.64284    0.0143  20392648   4746729  22946386
   6.64269   6.64270    0.0143  20428348   4741379  22916986
   6.64256   6.64257    0.0143  20407048   4722919  22829786
   6.64242   6.64243    0.0143  20416348   4712539  22794586
   6.64228   6.64230    0.0143  20390748   4696899  22701086
   6.64214   6.64217    0.0143  20409448   4685749  22663586
   6.64200   6.64204    0.0143  20427848   4678059  22623086
   6.64186   6.64190    0.0143  20412748   4664199  22555786
   6.64172   6.64177    0.0143  20426348   4653009  22501986
   6.64158   6.64164    0.0143  20397948   4634589  22416386
   6.64144   6.64151    0.0143  20412148   4627729  22376986
   6.64131   6.64138    0.0143  20398648   4612229  22297486
   6.64117   6.64124    0.0143  20403148   4603659  22263786
   6.64103   6.64110    0.0143  20418448   4593099  22204486
   6.64089   6.64097    0.0143  20395848   4577009  22136986
   6.64075   6.64083    0.0143  20407248   4569449  22107086
   6.64061   6.64068    0.0143  20377248   4551999  22012986
   6.64047   6.64054    0.0143  20395448   4545949  21977386
   6.64033   6.64039    0.0143  20357048   4528999  21903886
   6.64019   6.64025    0.0143  20381448   4523679  21880586
   6.64006   6.64010    0.0143  20362548   4510989  21815286
   6.63992   6.63996    0.0143  20354748   4501159  21774186
   6.63978   6.63982    0.0143  20331348   4488939  21714986
   6.63964   6.63967    0.0143  20318948   4477659  21662186
   6.63950   6.63953    0.0143  20321048   4472149  21631486
   6.63936   6.63939    0.0143  20308648   4463859  21591086
   6.63922   6.63925    0.0143  20326248   4463169  21593386
   6.63908   6.63911    0.0143  20296148   4450879  21529286
   6.63894   6.63897    0.0143  20301148   4449179  21519986
   6.63881   6.63883    0.0143  20289448   4441719  21491786
   6.63867   6.63870    0.0143  20291548   4439859  21483186
   6.63853   6.63856    0.0143  20295948   4440359  21495686
   6.63839   6.63843    0.0143  20295048   4439359  21480186
   6.63825   6.63829    0.0143  20345448   4449559  21528386
   6.63811   6.63816    0.0143  20323248   4444369  21504086
   6.63797   6.63803    0.0143  20357748   4453399  21544486
   6.63783   6.63789    0.0143  20347648   4453149  21547886
   6.63769   6.63776    0.0143  20377548   4460519  21591186
   6.63756   6.63762    0.0143  20383848   4467889  21626986
   6.63742   6.63749    0.0143  20385248   4471739  21651486
   6.63728   6.63735    0.0143  20390148   4477689  21679686
   6.63714   6.63722    0.0143  20377548   4480619  21689186
   6.63700   6.63708    0.0143  20398748   4494609  21752786
   6.63686   6.63695    0.0143  20386348   4496619  21766086
   6.63672   6.63681    0.0143  20410448   4511109  21848486
   6.63658   6.63667    0.0143  20397148   4515049  21858886
   6.63644   6.63653    0.0143  20391948   4524339  21906186
   6.63631   6.63639    0.0143  20412848   4535929  21968186
   6.63617   6.63625    0.0143  20396048   4543369  22004486
   6.63603   6.63611    0.0143  20410248   4558299  22074286
   6.63589   6.63597    0.0143  20391148   4562359  22099886
   6.63575   6.63583    0.0143  20424748   4579399  22184786
   6.63561   6.63569    0.0143  20391948   4584439  22211986
   6.63547   6.63554    0.0143  20411048   4598809  22278586
   6.63533   6.63540    0.0143  20388048   4604599  22309786
   6.63519   6.63525    0.0143  20375148   4613569  22353186
   6.63506   6.63510    0.0143  20386148   4626469  22421286
   6.63492   6.63496    0.0143  20368148   4633269  22446286
   6.63478   6.63481    0.0143  20405248   4649779  22536186
   6.63464   6.63466    0.0143  20361148   4652169  22541586
   6.63450   6.63452    0.0143  20374648   4664329  22612886
   6.63436   6.63437    0.0143  20356148   4666929  22621486
   6.63422   6.63422    0.0143  20338948   4674789  22648186
   6.63408   6.63408    0.0143  20342548   4683799  22701786
   6.63394   6.63394    0.0143  20338248   4691359  22745786
   6.63381   6.63379    0.0143  20367248   4704769  22803086
   6.63367   6.63365    0.0143  20321748   4701389  22796286
   6.63353   6.63351    0.0143  20343448   4713969  22861386
   6.63339   6.63338    0.0143  20292748   4711139  22839986
   6.63325   6.63324    0.0143  20311048   4722349  22893086
   6.63311   6.63310    0.0143  20321748   4729909  22934186
   6.63297   6.63297    0.0143  20322248   4737679  22976386
   6.63283   6.63283    0.0143  20317248   4743769  23008186
   6.63269   6.63270    0.0143  20283748   4743329  23002886
   6.63256   6.63257    0.0143  20292248   4751209  23046286
   6.63242   6.63243    0.0143  20267348   4751269  23049086
   6.63228   6.63230    0.0143  20283748   4765269  23117286
   6.63214   6.63217    0.0143  20266748   4766639  23120886
   6.63200   6.63204    0.0143  20260548   4771179  23148986
   6.63186   6.63191    0.0143  20252348   4775899  23168386
   6.63172   6.63178    0.0143  20232948   4777919  23183086
   6.63158   6.63165    0.0143  20243448   4788689  23232886
   6.63144   6.63152    0.0143  20209948   4789139  23238386
   6.63131   6.63138    0.0143  20232948   4801789  23292286
   6.63117   6.63125    0.0143  20183548   4797129  23269286
   6.63103   6.63112    0.0143  20199248   4808789  23336186
   6.63089   6.63098    0.0143  20166148   4808469  23334986
   6.63075   6.63084    0.0143  20165548   4816549  23365186
   6.63061   6.63070    0.0143  20150648   4820759  23401686
   6.63047   6.63055    0.0143  20148548   4827369  23422386
   6.63033   6.63041    0.0143  20169448   4837519  23478886
   6.63019   6.63027    0.0143  20137748   4837769  23486786
   6.63006   6.63012    0.0143  20140548   4846599  23531286
   6.62992   6.62998    0.0143  20120648   4848919  23538986
   6.62978   6.62984    0.0143  20138948   4861389  23600686
   6.62964   6.62969    0.0143  20153348   4871599  23650986
   6.62950   6.62955    0.0143  20166348   4880039  23700386
   6.62936   6.62941    0.0143  20187848   4892889  23768586
   6.62922   6.62927    0.0143  20170548   4894159  23767986
   6.62908   6.62913    0.0143  20212348   4911099  23844286
   6.62894   6.62900    0.0143  20178548   4911479  23844786
   6.62881   6.62886    0.0143  20216548   4924709  23914186
   6.62867   6.62872    0.0143  20211148   4928109  23938386
   6.62853   6.62859    0.0143  20227748   4937999  23977586
   6.62839   6.62845    0.0143  20231648   4944169  24008986
   6.62825   6.62832    0.0143  20212148   4943539  24008186
   6.62811   6.62819    0.0143  20224848   4949469  24042986
   6.62797   6.62805    0.0143  20201748   4948579  24034586
   6.62783   6.62792    0.0143  20232148   4959039  24087686
   6.62769   6.62779    0.0143  20218548   4959109  24096486
   6.62756   6.62766    0.0143  20233548   4964589  24124386
   6.62742   6.62752    0.0143  20223148   4963069  24100686
   6.62728   6.62739    0.0143  20201548   4960109  24103086
   6.62714   6.62725    0.0143  20218448   4964399  24112886
   6.62700   6.62712    0.0143  20216948   4962699  24121386
   6.62686   6.62698    0.0143  20234448   4969439  24143386
   6.62672   6.62684    0.0143  20201348   4962319  24115686
   6.62658   6.62670    0.0143  20220148   4966039  24131186
   6.62644   6.62657    0.0143  20177748   4956589  24093086
   6.62631   6.62643    0.0143  20196648   4958599  24101986
   6.62617   6.62629    0.0143  20186748   4953999  24088786
   6.62603   6.62615    0.0143  20193748   4954509  24085686
   6.62589   6.62600    0.0143  20184048   4949339  24062886
   6.62575   6.62586    0.0143  20160048   4943669  24028586
   6.62561   6.62572    0.0143  20179748   4944619  24038886
   6.62547   6.62558    0.0143  20147548   4934979  23990986
   6.62533   6.62543    0.0143  20179448   4937749  24005486
   6.62519   6.62528    0.0143  20145048   4927229  23953286
   6.62506   6.62513    0.0143  20146148   4924639  23938686
   6.62492   6.62499    0.0143  20136648   4920549  23926086
   6.62478   6.62484    0.0143  20119648   4913619  23888686
   6.62464   6.62469    0.0143  20147448   4914629  23900486
   6.62450   6.62454    0.0143  20119548   4905369  23858986
   6.62436   6.62439    0.0143  20126648   4905109  23855086
   6.62422   6.62424    0.0143  20098548   4894539  23810886
   6.62408   6.62410    0.0143  20119648   4895409  23808486
   6.62394   6.62396    0.0143  20095048   4888479  23764986
   6.62381   6.62381    0.0143  20101948   4886969  23769286
   6.62367   6.62367    0.0143  20090048   4881359  23744986
   6.62353   6.62353    0.0143  20074348   4874629  23714186
   6.62339   6.62339    0.0143  20087448   4874619  23717886
   6.62325   6.62325    0.0143  20063648   4866809  23680486
   6.62311   6.62311    0.0143  20073848   4866559  23685286
   6.62297   6.62298    0.0143  20044748   4854839  23622286
   6.62283   6.62284    0.0143  20041548   4852819  23610686
   6.62269   6.62271    0.0143  20033348   4848169  23589086
   6.62256   6.62257    0.0143  20015048   4842809  23568486
   6.62242   6.62244    0.0143  20030348   4841609  23563486
   6.62228   6.62231    0.0143  20001448   4833669  23517386
   6.62214   6.62217    0.0143  20004448   4830899  23512086
   6.62200   6.62204    0.0143  19950048   4815289  23434686
   6.62186   6.62191    0.0143  19981448   4819369  23454286
   6.62172   6.62178    0.0143  19952548   4810169  23417386
   6.62158   6.62165    0.0143  19966748   4811309  23427286
   6.62144   6.62151    0.0143  19971648   4811559  23412986
   6.62131   6.62138    0.0143  19947548   4801929  23378286
   6.62117   6.62124    0.0143  19941548   4799899  23356586
   6.62103   6.62111    0.0143  19918348   4789889  23318786
   6.62089   6.62097    0.0143  19969748   4800469  23372786
   6.62075   6.62083    0.0143  19973948   4800719  23379886
   6.62061   6.62069    0.0143  20000148   4805509  23401586
   6.62047   6.62054    0.0143  19990948   4802629  23388386
   6.62033   6.62040    0.0143  19981148   4797509  23366286
   6.62019   6.62026    0.0143  19994548   4800599  23367186
   6.62006   6.62011    0.0143  19989248   4798329  23368186
   6.61992   6.61997    0.0143  20029748   4806579  23407286
   6.61978   6.61982    0.0143  20001748   4799159  23372386
   6.61964   6.61968    0.0143  20023348   4802359  23387586
   6.61950   6.61953    0.0143  19988448   4793859  23354686
   6.61936   6.61939    0.0143  20000448   4798269  23370086
   6.61922   6.61926    0.0143  20014348   4799399  23373086
   6.61908   6.61911    0.0143  20004048   4798659  23382786
   6.61894   6.61897    0.0143  20010648   4800979  23381786
   6.61881   6.61883    0.0143  19979048   4793349  23343986
   6.61867   6.61870    0.0143  19994348   4796569  23371586
   6.61853   6.61856    0.0143  19977148   4793479  23359486
   6.61839   6.61843    0.0143  19990048   4799349  23373086
   6.61825   6.61829    0.0143  19983448   4796119  23372386
   6.61811   6.61816    0.0143  19967648   4793229  23355686
   6.61797   6.61803    0.0143  19972448   4794049  23360086
   6.61783   6.61789    0.0143  19944648   4787809  23325586
   6.61769   6.61776    0.0143  19967448   4792849  23357086
   6.61756   6.61762    0.0143  19928848   4786809  23324186
   6.61742   6.61749    0.0143  19959748   4791779  23348786
   6.61728   6.61735    0.0143  19912548   4782389  23311286
   6.61714   6.61722    0.0143  19928148   4785669  23327686
   6.61700   6.61708    0.0143  19911748   4780819  23311486
   6.61686   6.61694    0.0143  19904948   4782089  23311886
   6.61672   6.61681    0.0143  19896048   4780309  23307386
   6.61658   6.61667    0.0143  19879048   4776589  23282686
   6.61644   6.61653    0.0143  19881148   4776529  23282186
   6.61631   6.61639    0.0143  19845248   4769979  23258586
   6.61617   6.61625    0.0143  19874048   4776669  23288186
   6.61603   6.61611    0.0143  19857148   4769409  23269586
   6.61589   6.61597    0.0143  19852648   4771299  23266186
   6.61575   6.61583    0.0143  19839948   4767589  23249986
   6.61561   6.61568    0.0143  19800248   4759139  23218086
   6.61547   6.61554    0.0143  19822348   4764069  23234986
   6.61533   6.61539    0.0143  19803948   4759709  23215386
   6.61519   6.61524    0.0143  19827148   4768089  23256586
   6.61506   6.61510    0.0143  19786248   4757319  23201786
   6.61492   6.61495    0.0143  19802048   4758199  23218186
   6.61478   6.61480    0.0143  19757648   4751209  23171186
   6.61464   6.61466    0.0143  19755048   4750019  23166186
   6.61450   6.61451    0.0143  19765048   4752469  23184986
   6.61436   6.61436    0.0143  19757948   4752279  23178186
   6.61422   6.61421    0.0143  19761648   4751329  23187086
   6.61408   6.61407    0.0143  19708448   4742509  23138686
   6.61394   6.61393    0.0143  19707548   4741519  23133486
   6.61381   6.61379    0.0143  19683648   4734379  23103586
   6.61367   6.61364    0.0143  19686948   4735829  23107086
   6.61353   6.61350    0.0143  19675648   4732239  23096386
   6.61339   6.61336    0.0143  19661248   4730099  23075986
   6.61325   6.61323    0.0143  19652048   4726339  23059386
   6.61311   6.61309    0.0143  19612748   4720019  23031386
   6.61297   6.61296    0.0143  19645648   4725189  23073786
   6.61283   6.61282    0.0143  19598548   4715299  23012786
   6.61269   6.61269    0.0143  19616548   4719009  23031486
   6.61256   6.61256    0.0143  19588548   4711409  22995786
   6.61242   6.61242    0.0143  19594748   4712779  23000786
   6.61228   6.61229    0.0143  19584048   4711199  22995986
   6.61214   6.61216    0.0143  19599348   4713029  22996186
   6.61200   6.61203    0.0143  19623348   4718759  23035086
   6.61186   6.61190    0.0143  19610548   4713469  23014386
   6.61172   6.61177    0.0143  19618548   4717959  23028386
   6.61158   6.61164    0.0143  19613548   4714539  23020286
   6.61144   6.61151    0.0143  19635648   4719259  23041386
   6.61131   6.61137    0.0143  19639148   4719889  23044286
   6.61117   6.61124    0.0143  19635548   4717369  23038486
   6.61103   6.61110    0.0143  19653148   4720599  23049786
   6.61089   6.61096    0.0143  19606848   4710189  22997586
   6.61075   6.61082    0.0143  19640848   4715739  23034086
   6.61061   6.61068    0.0143  19609048   4709249  23001286
   6.61047   6.61054    0.0143  19641048   4715419  23031886
   6.61033   6.61040    0.0143  19620648   4708009  23005586
   6.61019   6.61025    0.0143  19633548   4711199  23011086
   6.61006   6.61011    0.0143  19614648   4705909  22988086
   6.60992   6.60997    0.0143  19609548   4700359  22955786
   6.60978   6.60982    0.0143  19619748   4703959  22974386
   6.60964   6.60968    0.0143  19604648   4698919  22952786
   6.60950   6.60954    0.0143  19603448   4697929  22942686
   6.60936   6.60939    0.0143  19600948   4692679  22927986
   6.60922   6.60926    0.0143  19595148   4691169  22921186
   6.60908   6.60912    0.0143  19593548   4687509  22903986
   6.60894   6.60898    0.0143  19581448   4684799  22893086
   6.60881   6.60884    0.0143  19578648   4682739  22887886
   6.60867   6.60871    0.0143  19566048   4676989  22849586
   6.60853   6.60857    0.0143  19578248   4676989  22858786
   6.60839   6.60844    0.0143  19548048   4669179  22820886
   6.60825   6.60830    0.0143  19564948   4672769  22838786
   6.60811   6.60817    0.0143  19519348   4659439  22770786
   6.60797   6.60804    0.0143  19544548   4661679  22788086
   6.60783   6.60790    0.0143  19529748   4656259  22763186
   6.60769   6.60777    0.0143  19523048   4655379  22752686
   6.60756   6.60764    0.0143  19505348   4649649  22736986
   6.60742   6.60750    0.0143  19490148   4643999  22703486
   6.60728   6.60737    0.0143  19500948   4645179  22702086
   6.60714   6.60724    0.0143  19483248   4638499  22671486
   6.60700   6.60710    0.0143  19489748   4642029  22685986
   6.60686   6.60696    0.0143  19476848   4635409  22665286
   6.60672   6.60683    0.0143  19463048   4631719  22641286
   6.60658   6.60669    0.0143  19462248   4628729  22627286
   6.60644   6.60655    0.0143  19440348   4622809  22606386
   6.60631   6.60641    0.0143  19464148   4628919  22630386
   6.60617   6.60627    0.0143  19416348   4616949  22576886
   6.60603   6.60613    0.0143  19445248   4623319  22602286
   6.60589   6.60599    0.0143  19403748   4614019  22561186
   6.60575   6.60585    0.0143  19410948   4615819  22567186
   6.60561   6.60571    0.0143  19387048   4608199  22541286
   6.60547   6.60556    0.0143  19389748   4611529  22550486
   6.60533   6.60542    0.0143  19376648   4606679  22540686
   6.60519   6.60527    0.0143  19354048   4603309  22510286
   6.60506   6.60512    0.0143  19347848   4604289  22515786
   6.60492   6.60498    0.0143  19322148   4597299  22485986
   6.60478   6.60483    0.0143  19316448   4597799  22490886
   6.60464   6.60469    0.0143  19300848   4595409  22475286
   6.60450   6.60454    0.0143  19305548   4598829  22504086
   6.60436   6.60439    0.0143  19284348   4595279  22486686
   6.60422   6.60424    0.0143  19254648   4591499  22466586
   6.60408   6.60410    0.0143  19273548   4596669  22495686
   6.60394   6.60396    0.0143  19248648   4593259  22473586
   6.60381   6.60382    0.0143  19266848   4600849  22515186
   6.60367   6.60368    0.0143  19244648   4597929  22500686
   6.60353   6.60354    0.0143  19264348   4605549  22540286
   6.60339   6.60340    0.0143  19226848   4600639  22518486
   6.60325   6.60326    0.0143  19247348   4611469  22569086
   6.60311   6.60312    0.0143  19260348   4617959  22598386
   6.60297   6.60299    0.0143  19266248   4622389  22631486
   6.60283   6.60286    0.0143  19281148   4629049  22657286
   6.60269   6.60272    0.0143  19270948   4633579  22681186
   6.60256   6.60259    0.0143  19281248   4640959  22717186
   6.60242   6.60245    0.0143  19252748   4639319  22708786
   6.60228   6.60232    0.0143  19265748   4648159  22744986
   6.60214   6.60220    0.0143  19278548   4655819  22788086
   6.60200   6.60207    0.0143  19266248   4657779  22803386
   6.60186   6.60193    0.0143  19279048   4666339  22851686
   6.60172   6.60180    0.0143  19253048   4665019  22846286
   6.60158   6.60167    0.0143  19272548   4675939  22899486
   6.60144   6.60154    0.0143  19235148   4672959  22885986
   6.60131   6.60141    0.0143  19269248   4687389  22951086
   6.60117   6.60128    0.0143  19237848   4686949  22961086
   6.60103   6.60114    0.0143  19254748   4695579  22995286
   6.60089   6.60100    0.0143  19242648   4698219  23019086
   6.60075   6.60086    0.0143  19233248   4703409  23034986
   6.60061   6.60072    0.0143  19233948   4709369  23072286
   6.60047   6.60058    0.0143  19219948   4712079  23087586
   6.60033   6.60044    0.0143  19231048   4719829  23122386
   6.60019   6.60030    0.0143  19201548   4719079  23124486
   6.60006   6.60015    0.0143  19203748   4724889  23157686
   6.59992   6.60001    0.0143  19193248   4731169  23181886
   6.59978   6.59986    0.0143  19184348   4733379  23201686
   6.59964   6.59972    0.0143  19178248   4737979  23224386
   6.59950   6.59958    0.0143  19141848   4736589  23210186
   6.59936   6.59944    0.0143  19163948   4746499  23264586
   6.59922   6.59930    0.0143  19128048   4744649  23253186
   6.59908   6.59916    0.0143  19158248   4754989  23305686
   6.59894   6.59902    0.0143  19129548   4752279  23295486
   6.59881   6.59888    0.0143  19123548   4757379  23324286
   6.59867   6.59875    0.0143  19085948   4752419  23309186
   6.59853   6.59861    0.0143  19094348   4756939  23327586
   6.59839   6.59847    0.0143  19097048   4765069  23354286
   6.59825   6.59834    0.0143  19078648   4763239  23353386
   6.59811   6.59821    0.0143  19088848   4770229  23395586
   6.59797   6.59807    0.0143  19053948   4765069  23364386
   6.59783   6.59794    0.0143  19047248   4767279  23375186
   6.59769   6.59780    0.0143  19035748   4767769  23368486
   6.59756   6.59767    0.0143  19030248   4769659  23386386
   6.59742   6.59754    0.0143  19035648   4775209  23406286
   6.59728   6.59740    0.0143  19012048   4769099  23397486
   6.59714   6.59726    0.0143  19003748   4771509  23398786
   6.59700   6.59713    0.0143  18968648   4764059  23362886
   6.59686   6.59699    0.0143  18982248   4770419  23401086
   6.59672   6.59685    0.0143  18956948   4765249  23380186
   6.59658   6.59671    0.0143  18970848   4770989  23408486
   6.59644   6.59657    0.0143  18934048   4763629  23374786
   6.59631   6.59643    0.0143  18923448   4760719  23364886
   6.59617   6.59629    0.0143  18908048   4758639  23354486
   6.59603   6.59615    0.0143  18882748   4754669  23332186
   6.59589   6.59601    0.0143  18896548   4757759  23349586
   6.59575   6.59587    0.0143  18875848   4753299  23326386
   6.59561   6.59572    0.0143  18868048   4752719  23320486
   6.59547   6.59558    0.0143  18838848   4744339  23289886
   6.59533   6.59543    0.0143  18839548   4745719  23290386
   6.59519   6.59528    0.0143  18849248   4746479  23301886
   6.59506   6.59514    0.0143  18825348   4742529  23272486
   6.59492   6.59499    0.0143  18839548   4743649  23279986
   6.59478   6.59484    0.0143  18805748   4736839  23248186
   6.59464   6.59469    0.0143  18845548   4745659  23291086
   6.59450   6.59454    0.0143  18817148   4737349  23254286
   6.59436   6.59439    0.0143  18860848   4746349  23300786
   6.59422   6.59425    0.0143  18855948   4743659  23287386
   6.59408   6.59410    0.0143  18854848   4743959  23288586
   6.59394   6.59396    0.0143  18855048   4739679  23274986
   6.59381   6.59381    0.0143  18853448   4738609  23260886
   6.59367   6.59367    0.0143  18883748   4741379  23284186
   6.59353   6.59353    0.0143  18856448   4735029  23247486
   6.59339   6.59339    0.0143  18874148   4737219  23257786
   6.59325   6.59326    0.0143  18862648   4729279  23227186
   6.59311   6.59312    0.0143  18865848   4726949  23215286
   6.59297   6.59298    0.0143  18868148   4724119  23199986
   6.59283   6.59285    0.0143  18858348   4719339  23178886
   6.59269   6.59271    0.0143  18886948   4720779  23189486
   6.59256   6.59258    0.0143  18845048   4709629  23132786
   6.59242   6.59245    0.0143  18869848   4709689  23133686
   6.59228   6.59231    0.0143  18839048   4699989  23082486
   6.59214   6.59218    0.0143  18851348   4700049  23090986
   6.59200   6.59205    0.0143  18847248   4693449  23053286
   6.59186   6.59192    0.0143  18859848   4690849  23043986
   6.59172   6.59179    0.0143  18820948   4679949  22988986
   6.59158   6.59166    0.0143  18814048   4673089  22957286
   6.59144   6.59152    0.0143  18831448   4672139  22956786
   6.59131   6.59139    0.0143  18821748   4667369  22934686
   6.59117   6.59125    0.0143  18826448   4663819  22919186
   6.59103   6.59112    0.0143  18799548   4654249  22874886
   6.59089   6.59097    0.0143  18787948   4647569  22834786
   6.59075   6.59084    0.0143  18762248   4637239  22794986
   6.59061   6.59070    0.0143  18765348   4635059  22776686
   6.59047   6.59055    0.0143  18794448   4637359  22787486
   6.59033   6.59041    0.0143  18760248   4626019  22733986
   6.59019   6.59026    0.0143  18767248   4622869  22730486
   6.59006   6.59012    0.0143  18721948   4609579  22655686
   6.58992   6.58997    0.0143  18739348   4610489  22660886
   6.58978   6.58983    0.0143  18716548   4600759  22611486
   6.58964   6.58969    0.0143  18750048   4606679  22647086
   6.58950   6.58954    0.0143  18738648   4599749  22611986
   6.58936   6.58940    0.0143  18711848   4590299  22572586
   6.58922   6.58926    0.0143  18702648   4584629  22539586
   6.58908   6.58912    0.0143  18687448   4576599  22501186
   6.58894   6.58898    0.0143  18705248   4577959  22519686
   6.58881   6.58884    0.0143  18690148   4573169  22489086
   6.58867   6.58870    0.0143  18706948   4572469  22483286
   6.58853   6.58857    0.0143  18693548   4564659  22447386
   6.58839   6.58844    0.0143  18659348   4554609  22394186
   6.58825   6.58830    0.0143  18674148   4555089  22401986
   6.58811   6.58816    0.0143  18661048   4548349  22367986
   6.58797   6.58803    0.0143  18669948   4547529  22365286
   6.58783   6.58790    0.0143  18627648   4535489  22309786
   6.58769   6.58776    0.0143  18643448   4539049  22323686
   6.58756   6.58763    0.0143  18611048   4527679  22270286
   6.58742   6.58750    0.0143  18616048   4526799  22261886
   6.58728   6.58736    0.0143  18592648   4520499  22239886
   6.58714   6.58722    0.0143  18598848   4519429  22228586
   6.58700   6.58709    0.0143  18578548   4512529  22191386
   6.58686   6.58695    0.0143  18567948   4508589  22182686
   6.58672   6.58681    0.0143  18577748   4510039  22184586
   6.58658   6.58668    0.0143  18551148   4502039  22144786
   6.58644   6.58654    0.0143  18561048   4502729  22143486
   6.58631   6.58640    0.0143  18561348   4501279  22140386
   6.58617   6.58626    0.0143  18546848   4500749  22133686
   6.58603   6.58612    0.0143  18554048   4496999  22125186
   6.58589   6.58597    0.0143  18529048   4494169  22116186
   6.58575   6.58583    0.0143  18570948   4504309  22159386
   6.58561   6.58569    0.0143  18551248   4498129  22137086
   6.58547   6.58554    0.0143  18599648   4509689  22195186
   6.58533   6.58540    0.0143  18571548   4504429  22170286
   6.58519   6.58525    0.0143  18595548   4509789  22191386
   6.58506   6.58511    0.0143  18578348   4505439  22171386
   6.58492   6.58496    0.0143  18589248   4508089  22192686
   6.58478   6.58481    0.0143  18595948   4511649  22208786
   6.58464   6.58466    0.0143  18589248   4512369  22205886
   6.58450   6.58451    0.0143  18598548   4516219  22235086
   6.58436   6.58437    0.0143  18583648   4512879  22205386
   6.58422   6.58422    0.0143  18570748   4513819  22217486
   6.58408   6.58408    0.0143  18576848   4513729  22218386
   6.58394   6.58394    0.0143  18597548   4521819  22262286
   6.58381   6.58379    0.0143  18604748   4523959  22277086
   6.58367   6.58365    0.0143  18561648   4516469  22248686
   6.58353   6.58351    0.0143  18581848   4525289  22275386
   6.58339   6.58338    0.0143  18550148   4519109  22248786
   6.58325   6.58324    0.0143  18568248   4528149  22301186
   6.58311   6.58310    0.0143  18534948   4521629  22264286
   6.58297   6.58297    0.0143  18580348   4533409  22333386
   6.58283   6.58283    0.0143  18536348   4527299  22303786
   6.58269   6.58270    0.0143  18528148   4528059  22303286
   6.58256   6.58257    0.0143  18507848   4525819  22290786
   6.58242   6.58243    0.0143  18511548   4529259  22314886
   6.58228   6.58230    0.0143  18516048   4532469  22330386
   6.58214   6.58217    0.0143  18508148   4534109  22334086
   6.58200   6.58204    0.0143  18503848   4536379  22350186
   6.58186   6.58191    0.0143  18459748   4528209  22314286
   6.58172   6.58178    0.0143  18450448   4529699  22314986
   6.58158   6.58165    0.0143  18439848   4530199  22316986
   6.58144   6.58152    0.0143  18426748   4530079  22325986
   6.58131   6.58138    0.0143  18450448   4536879  22365186
   6.58117   6.58125    0.0143  18398948   4529629  22329486
   6.58103   6.58111    0.0143  18417048   4536029  22352586
   6.58089   6.58097    0.0143  18355348   4524219  22292586
   6.58075   6.58083    0.0143  18359448   4528189  22326486
   6.58061   6.58069    0.0143  18345548   4527429  22316786
   6.58047   6.58055    0.0143  18349248   4532339  22344386
   6.58033   6.58041    0.0143  18325548   4528529  22326586
   6.58019   6.58026    0.0143  18310848   4528819  22317086
   6.58006   6.58012    0.0143  18284948   4522699  22297786
   6.57992   6.57998    0.0143  18255248   4517789  22264286
   6.57978   6.57983    0.0143  18255948   4521759  22295586
