  9809     SPring-8 14b2 
 Ir-L21_IrO2_Si  20.07.15 17:56 - 20.07.15 18:08
 IrO2                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 17.83300 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6554
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.64500  14.67000    -0.000460       0.10      6554
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    55.800    60.800
  17.58152  17.58731     0.100      5107     22170
  17.58106  17.58685     0.100      5120     22234
  17.58060  17.58641     0.100      5109     22196
  17.58014  17.58596     0.100      5112     22210
  17.57968  17.58553     0.100      5107     22171
  17.57922  17.58510     0.100      5105     22196
  17.57876  17.58471     0.100      5108     22192
  17.57830  17.58434     0.100      5109     22211
  17.57784  17.58398     0.100      5120     22244
  17.57738  17.58360     0.100      5114     22225
  17.57692  17.58322     0.100      5116     22273
  17.57646  17.58282     0.100      5104     22208
  17.57600  17.58242     0.100      5118     22263
  17.57554  17.58202     0.100      5104     22205
  17.57508  17.58161     0.100      5114     22248
  17.57462  17.58115     0.100      5124     22291
  17.57416  17.58066     0.100      5111     22239
  17.57370  17.58016     0.100      5118     22293
  17.57324  17.57967     0.100      5099     22200
  17.57278  17.57921     0.100      5113     22261
  17.57232  17.57874     0.100      5110     22253
  17.57186  17.57824     0.100      5093     22186
  17.57140  17.57775     0.100      5112     22268
  17.57094  17.57728     0.100      5093     22195
  17.57048  17.57683     0.100      5116     22288
  17.57002  17.57641     0.100      5098     22207
  17.56956  17.57601     0.100      5111     22270
  17.56910  17.57565     0.100      5094     22213
  17.56864  17.57535     0.100      5097     22219
  17.56818  17.57509     0.100      5102     22257
  17.56772  17.57484     0.100      5105     22272
  17.56726  17.57462     0.100      5096     22234
  17.56680  17.57442     0.100      5107     22291
  17.56634  17.57423     0.100      5104     22267
  17.56588  17.57405     0.100      5100     22259
  17.56542  17.57389     0.100      5094     22241
  17.56496  17.57372     0.100      5095     22224
  17.56450  17.57356     0.100      5101     22248
  17.56404  17.57340     0.100      5102     22262
  17.56358  17.57324     0.100      5088     22202
  17.56312  17.57309     0.100      5095     22245
  17.56266  17.57293     0.100      5086     22216
  17.56220  17.57278     0.100      5100     22261
  17.56174  17.57263     0.100      5103     22274
  17.56128  17.57246     0.100      5117     22335
  17.56082  17.57225     0.100      5100     22276
  17.56036  17.57195     0.100      5119     22343
  17.55990  17.57157     0.100      5095     22253
  17.55944  17.57114     0.100      5101     22281
  17.55898  17.57067     0.100      5111     22334
  17.55852  17.57018     0.100      5085     22225
  17.55806  17.56970     0.100      5095     22265
  17.55760  17.56924     0.100      5090     22238
  17.55714  17.56877     0.100      5092     22245
  17.55668  17.56828     0.100      5110     22342
  17.55622  17.56778     0.100      5085     22240
  17.55576  17.56730     0.100      5112     22351
  17.55530  17.56685     0.100      5088     22253
  17.55484  17.56641     0.100      5097     22299
  17.55438  17.56597     0.100      5105     22322
  17.55392  17.56553     0.100      5078     22228
  17.55346  17.56511     0.100      5096     22292
  17.55300  17.56471     0.100      5079     22228
  17.55254  17.56433     0.100      5087     22273
  17.55208  17.56397     0.100      5095     22315
  17.55162  17.56359     0.100      5085     22273
  17.55116  17.56320     0.100      5090     22299
  17.55070  17.56280     0.100      5091     22307
  17.55024  17.56240     0.100      5078     22260
  17.54978  17.56200     0.100      5093     22317
  17.54932  17.56158     0.100      5073     22236
  17.54886  17.56111     0.100      5090     22318
  17.54840  17.56060     0.100      5079     22260
  17.54794  17.56010     0.100      5078     22269
  17.54748  17.55962     0.100      5092     22344
  17.54702  17.55915     0.100      5069     22236
  17.54656  17.55867     0.100      5086     22318
  17.54610  17.55817     0.100      5066     22232
  17.54564  17.55767     0.100      5082     22299
  17.54518  17.55719     0.100      5085     22318
  17.54472  17.55673     0.100      5068     22257
  17.54426  17.55629     0.100      5095     22375
  17.54380  17.55585     0.100      5063     22243
  17.54334  17.55541     0.100      5083     22315
  17.54288  17.55499     0.100      5079     22344
  17.54242  17.55460     0.100      5073     22272
  17.54196  17.55423     0.100      5091     22359
  17.54150  17.55387     0.100      5066     22263
  17.54104  17.55349     0.100      5085     22349
  17.54058  17.55309     0.100      5074     22312
  17.54012  17.55269     0.100      5066     22284
  17.53966  17.55229     0.100      5074     22327
  17.53920  17.55188     0.100      5066     22288
  17.53874  17.55144     0.100      5078     22355
  17.53828  17.55096     0.100      5062     22263
  17.53782  17.55046     0.100      5070     22308
  17.53736  17.54996     0.100      5064     22287
  17.53690  17.54948     0.100      5058     22258
  17.53644  17.54901     0.100      5066     22297
  17.53598  17.54851     0.100      5060     22291
  17.53552  17.54800     0.100      5060     22283
  17.53506  17.54750     0.100      5072     22340
  17.53460  17.54703     0.100      5075     22351
  17.53414  17.54658     0.100      5072     22368
  17.53368  17.54614     0.100      5073     22347
  17.53322  17.54569     0.100      5060     22306
  17.53276  17.54526     0.100      5065     22328
  17.53230  17.54485     0.100      5063     22327
  17.53184  17.54446     0.100      5071     22360
  17.53138  17.54410     0.100      5066     22339
  17.53092  17.54373     0.100      5068     22357
  17.53046  17.54334     0.100      5061     22324
  17.53000  17.54294     0.100      5054     22277
  17.52954  17.54253     0.100      5067     22360
  17.52908  17.54213     0.100      5059     22316
  17.52862  17.54172     0.100      5054     22310
  17.52816  17.54127     0.100      5061     22339
  17.52770  17.54077     0.100      5067     22365
  17.52724  17.54026     0.100      5063     22350
  17.52678  17.53977     0.100      5058     22327
  17.52632  17.53929     0.100      5070     22389
  17.52586  17.53880     0.100      5058     22324
  17.52540  17.53830     0.100      5065     22367
  17.52494  17.53779     0.100      5060     22354
  17.52448  17.53730     0.100      5066     22390
  17.52402  17.53684     0.100      5057     22364
  17.52356  17.53639     0.100      5049     22322
  17.52310  17.53595     0.100      5059     22367
  17.52264  17.53550     0.100      5058     22368
  17.52218  17.53507     0.100      5056     22354
  17.52172  17.53467     0.100      5056     22351
  17.52126  17.53430     0.100      5048     22322
  17.52080  17.53393     0.100      5052     22354
  17.52034  17.53355     0.100      5054     22352
  17.51988  17.53315     0.100      5046     22336
  17.51942  17.53275     0.100      5054     22376
  17.51896  17.53235     0.100      5058     22379
  17.51850  17.53195     0.100      5043     22322
  17.51804  17.53151     0.100      5051     22341
  17.51758  17.53104     0.100      5034     22282
  17.51712  17.53053     0.100      5045     22326
  17.51666  17.53002     0.100      5043     22332
  17.51620  17.52954     0.100      5054     22386
  17.51574  17.52906     0.100      5046     22351
  17.51528  17.52857     0.100      5040     22318
  17.51482  17.52806     0.100      5043     22326
  17.51436  17.52756     0.100      5032     22304
  17.51390  17.52709     0.100      5056     22391
  17.51344  17.52664     0.100      5037     22323
  17.51298  17.52619     0.100      5029     22288
